T posX posY posZ VecX VecY VecZ AX AY AZ
76 340.516876 0.000000 5.367073 0.000033 0.000000 -55.999996 -0.000006 -0.000000 -0.000002
77 340.516907 0.000000 -50.632923 0.000028 0.000000 -55.999996 -0.000005 -0.000000 -0.000002
78 340.516937 0.000000 -106.632919 0.000023 0.000000 -55.999996 -0.000004 -0.000000 -0.000002
79 340.516968 0.000000 -162.632919 0.000019 0.000000 -55.999996 -0.000003 -0.000000 -0.000002
80 340.516998 0.000000 -218.632919 0.000015 0.000000 -55.999996 -0.000003 -0.000000 -0.000002
81 340.517029 0.000000 -274.632904 0.000013 0.000000 -55.999996 -0.000002 -0.000000 -0.000002
82 340.517029 0.000000 -330.632904 0.000011 0.000000 -55.999996 -0.000002 -0.000000 -0.000002
83 340.517029 0.000000 -386.632904 0.000009 0.000000 -55.999996 -0.000002 -0.000000 -0.000002
84 340.517029 0.000000 -442.632904 0.000007 0.000000 -55.999996 -0.000001 -0.000000 -0.000002
85 340.517029 0.000000 -498.632904 0.000006 0.000000 -55.999996 -0.000001 -0.000000 -0.000002
86 340.517029 0.000000 -554.632874 0.000005 0.000000 -55.999996 -0.000001 -0.000000 -0.000002
87 340.517029 0.000000 -610.632874 0.000004 0.000000 -55.999996 -0.000001 -0.000000 -0.000002
88 340.517029 0.000000 -666.632874 0.000003 0.000000 -55.999996 -0.000001 -0.000000 -0.000002
89 340.517029 0.000000 -722.632874 0.000003 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
90 340.517029 0.000000 -778.632874 0.000002 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
91 340.517029 0.000000 -834.632874 0.000002 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
92 340.517029 0.000000 -890.632874 0.000002 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
93 340.517029 0.000000 -946.632874 0.000001 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
94 340.517029 0.000000 -1002.632874 0.000001 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
95 340.517029 0.000000 -1058.632813 0.000001 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
96 340.517029 0.000000 -1114.632813 0.000001 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
97 340.517029 0.000000 -1170.632813 0.000001 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
98 340.517029 0.000000 -1226.632813 0.000000 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
99 340.517029 0.000000 -1282.632813 0.000000 0.000000 -55.999996 -0.000000 -0.000000 -0.000002
